#Neuron	Soma Position	Soma Region	 Span 	 Ambiguity 	TotHead	TotTail	TotMid	S_Head	R_Head	S_Mid	R_Mid	S_Tail	R_Tail	 AY Ganglion Designation	 AYNbr 
ADAL	0.21	H	S		47	0	0	33	8	0	0	0	0	E	141
ADAR	0.21	H	S		40	0	0	24	10	0	0	0	0	E	142
ADEL	0.21	H	S		57	0	0	45	10	0	0	0	0	E	143
ADER	0.21	H	S		51	0	0	38	12	0	0	0	0	E	144
ADFL	0.13	H	L		52	0	0	39	12	0	0	0	0	C	45
ADFR	0.14	H	L		61	0	0	43	16	0	0	0	0	C	46
ADLL	0.13	H	L		50	0	0	43	3	0	0	0	0	C	47
ADLR	0.14	H	L		51	0	0	46	4	0	0	0	0	C	48
AFDL	0.13	H	L		21	0	0	8	11	0	0	0	0	C	49
AFDR	0.14	H	L		32	0	0	14	16	0	0	0	0	C	50
AIAL	0.15	H	S		88	0	0	26	58	0	0	0	0	D	109
AIAR	0.16	H	S		99	0	0	28	66	0	0	0	0	D	110
AIBL	0.14	H	S		116	0	3	39	70	0	2	0	0	C	51
AIBR	0.15	H	S		120	0	6	35	76	0	4	0	0	C	52
AIML	0.19	H	S		32	0	0	27	4	0	0	0	0	D	111
AIMR	0.19	H	S		27	0	0	25	2	0	0	0	0	D	112
AINL	0.16	H	S		21	0	0	16	0	0	0	0	0	C	53
AINR	0.16	H	S		25	0	0	19	2	0	0	0	0	C	54
AIYL	0.19	H	S		75	0	0	30	43	0	0	0	0	D	113
AIYR	0.18	H	S		68	0	0	19	47	0	0	0	0	D	114
AIZL	0.17	H	S		117	0	1	51	62	1	0	0	0	C	55
AIZR	0.17	H	S		84	0	0	38	41	0	0	0	0	C	56
ALA	0.12	H	S		11	0	0	7	3	0	0	0	0	B	39
ALML	0.46	M	L		29	0	0	22	5	0	0	0	0	F	170
ALMR	0.46	M	L		14	0	0	12	1	0	0	0	0	F	171
ALNL	0.82	T	S		10	0	0	6	3	0	0	0	0	K	199
ALNR	0.82	T	S		10	0	0	8	2	0	0	0	0	K	200
AQR	0.21	H	S		58	0	3	28	10	0	0	0	0	E	145
AS01	0.25	M	S		0	0	36	0	0	20	9	0	0	E	146
AS02	0.29	M	S		0	0	34	0	0	23	8	0	0	G	224
AS03	0.35	M	S		0	0	42	0	0	30	6	0	0	G	225
AS04	0.4	M	S		0	0	29	0	0	21	7	0	0	G	226
AS05	0.47	M	S		0	0	34	0	0	20	11	0	0	G	227
AS06	0.51	M	S		0	0	35	0	0	23	6	0	0	G	228
AS07	0.57	M	S	RDM	0	0	27	0	0	0	12	0	0	G	229
AS08	0.62	M	S	RDM	0	0	18	0	0	0	11	0	0	G	230
AS09	0.68	M	S	RDM	0	0	28	0	0	2	14	0	0	G	231
AS10	0.73	M	S	RDM	0	0	9	0	0	0	7	0	0	G	223
AS11	0.79	M	S	RDI	0	0	23	0	0	6	15	0	0	H	184
ASEL	0.15	H	L		54	0	0	40	14	0	0	0	0	C	57
ASER	0.15	H	L		58	0	0	42	16	0	0	0	0	C	58
ASGL	0.14	H	L		20	0	0	14	4	0	0	0	0	C	59
ASGR	0.14	H	L		23	0	0	13	8	0	0	0	0	C	60
ASHL	0.14	H	L		51	0	0	37	8	0	0	0	0	C	61
ASHR	0.14	H	L		60	0	0	40	13	0	0	0	0	C	62
ASIL	0.14	H	L		15	0	0	12	0	0	0	0	0	C	63
ASIR	0.15	H	L		14	0	0	11	0	0	0	0	0	C	64
ASJL	0.16	H	L		23	0	0	20	2	0	0	0	0	C	65
ASJR	0.16	H	L		22	0	0	18	3	0	0	0	0	C	66
ASKL	0.13	H	L		41	0	0	15	19	0	0	0	0	C	67
ASKR	0.13	H	L		33	0	0	15	11	0	0	0	0	C	68
AUAL	0.15	H	S		38	0	0	21	14	0	0	0	0	C	69
AUAR	0.16	H	S		42	0	0	26	13	0	0	0	0	C	70
AVAL	0.13	H	L		112	88	293	0	104	115	85	28	48	C	71
AVAR	0.13	H	L		94	98	286	2	85	116	106	35	49	C	72
AVBL	0.15	H	L		103	7	75	0	94	29	17	5	0	C	73
AVBR	0.15	H	L		127	8	68	0	119	22	12	4	1	C	74
AVDL	0.16	H	L		36	30	66	0	32	45	19	11	19	C	75
AVDR	0.16	H	L		33	0	108	0	29	62	44	0	0	C	76
AVEL	0.13	H	L		102	0	69	0	94	58	11	0	0	C	77
AVER	0.14	H	L		105	0	62	0	96	54	8	0	0	C	78
AVFL	0.2	H	L		30	7	47	14	16	13	5	3	4	E	147
AVFR	0.2	H	L		18	1	49	10	8	11	11	1	0	E	148
AVG	0.22	H	L		0	13	24	0	0	20	2	3	10	E	149
AVHL	0.15	H	L		28	4	19	19	9	8	6	1	2	C	79
AVHR	0.15	H	L		25	6	15	21	4	7	3	0	6	C	80
AVJL	0.15	H	L		47	5	20	12	32	8	4	0	3	C	81
AVJR	0.15	H	L		41	4	17	12	28	9	4	1	3	C	82
AVKL	0.2	H	L		44	14	39	12	19	6	26	0	14	D	115
AVKR	0.19	H	L		42	0	13	14	17	1	7	0	0	D	116
AVL	0.16	H	L		7	18	48	1	6	27	11	7	10	D	117
AVM	0.44	M	S		41	0	5	37	1	3	1	0	0	F	172
AWAL	0.14	H	L		28	0	0	23	3	0	0	0	0	C	83
AWAR	0.14	H	L		38	0	0	29	6	0	0	0	0	C	84
AWBL	0.14	H	L		33	0	0	24	6	0	0	0	0	C	85
AWBR	0.14	H	L		27	0	0	17	6	0	0	0	0	C	86
AWCL	0.14	H	L		40	0	0	25	15	0	0	0	0	C	87
AWCR	0.14	H	L		41	0	0	26	15	0	0	0	0	C	88
BAGL	0.1	H	S		37	0	0	27	7	0	0	0	0	A	1
BAGR	0.11	H	S		35	0	0	21	11	0	0	0	0	A	2
BDUL	0.31	M	S		26	0	0	12	14	0	0	0	0	F	173
BDUR	0.31	M	S		38	0	0	21	17	0	0	0	0	F	174
CEPDL	0.12	H	L		62	0	0	50	10	0	0	0	0	B	40
CEPDR	0.13	H	L		61	0	0	50	8	0	0	0	0	B	41
CEPVL	0.11	H	L		49	0	0	37	10	0	0	0	0	A	3
CEPVR	0.12	H	L		49	0	0	35	12	0	0	0	0	A	4
DA01	0.25	M	S		0	0	72	0	0	38	20	0	0	E	150
DA02	0.3	M	S		0	0	57	0	0	34	14	0	0	G	232
DA03	0.37	M	S		0	0	96	0	0	66	27	0	0	G	233
DA04	0.45	M	S		0	0	84	0	0	56	20	0	0	G	234
DA05	0.54	M	S		0	0	61	0	0	35	15	0	0	G	235
DA06	0.65	M	S		0	0	55	0	0	16	27	0	0	G	236
DA07	0.73	M	S	RDM	0	0	7	0	0	0	5	0	0	G	237
DA08	0.8	M	S	RDM	0	0	26	0	0	0	24	0	0	H	185
DA09	0.8	M	S	RDI	0	0	30	0	0	3	23	0	0	H	186
DB01	0.24	M	S		0	0	65	0	0	53	1	0	0	E	151
DB02	0.21	M	S		0	0	85	0	0	69	6	0	0	E	152
DB03	0.3	M	S		0	0	107	0	0	83	14	0	0	G	238
DB04	0.39	M	S		0	0	39	0	0	22	11	0	0	G	239
DB05	0.51	M	S	RDM	0	0	11	0	0	0	7	0	0	G	240
DB06	0.62	M	S	RDM	0	0	18	0	0	0	12	0	0	G	241
DB07	0.72	M	S	RDI	0	0	15	0	0	2	10	0	0	G	242
DD01	0.24	M	S		0	0	148	0	0	37	103	0	0	E	153
DD02	0.34	M	S		0	0	145	0	0	31	109	0	0	G	243
DD03	0.45	M	S		0	0	155	0	0	32	120	0	0	G	244
DD04	0.58	M	S	RDM	0	0	84	0	0	0	81	0	0	G	245
DD05	0.69	M	S	RDM	0	0	59	0	0	3	55	0	0	G	246
DD06	0.8	M	S	RDM	0	0	36	0	0	1	35	0	0	H	187
DVA	0.81	T	L		65	60	59	51	12	17	39	5	54	J	196
DVB	0.81	T	L		0	18	16	0	0	7	0	17	0	J	197
DVC	0.81	T	L	MB	45	5	41	38	3	1	9	0	3	J	198
FLPL	0.2	H	L		44	0	38	34	7	35	1	0	0	E	154
FLPR	0.2	H	L		43	0	14	39	2	11	1	0	0	E	155
HSNL	0.55	M	L		42	8	6	31	10	5	1	7	1	F	175
HSNR	0.55	M	L		37	0	27	20	15	20	7	0	0	F	176
IL1DL	0.08	H	L		34	0	0	15	15	0	0	0	0	A	5
IL1DR	0.09	H	L		38	0	0	17	17	0	0	0	0	A	6
IL1L	0.08	H	L		38	0	0	32	4	0	0	0	0	A	7
IL1R	0.09	H	L		47	0	0	37	8	0	0	0	0	A	8
IL1VL	0.08	H	L		38	0	0	20	15	0	0	0	0	A	9
IL1VR	0.11	H	L		44	0	0	29	12	0	0	0	0	A	10
IL2DL	0.07	H	L		31	0	0	31	0	0	0	0	0	A	11
IL2DR	0.08	H	L		29	0	0	29	0	0	0	0	0	A	12
IL2L	0.08	H	L		41	0	0	35	5	0	0	0	0	A	13
IL2R	0.09	H	L		32	0	0	26	3	0	0	0	0	A	14
IL2VL	0.08	H	L		35	0	0	34	1	0	0	0	0	A	15
IL2VR	0.09	H	L		44	0	0	41	3	0	0	0	0	A	16
LUAL	0.82	T	L		0	30	2	0	0	0	2	21	6	K	201
LUAR	0.82	T	L		0	29	0	0	0	0	0	21	6	K	202
OLLL	0.08	H	L		75	0	0	62	9	0	0	0	0	A	17
OLLR	0.09	H	L		92	0	1	64	24	0	1	0	0	A	18
OLQDL	0.09	H	L		33	0	0	8	19	0	0	0	0	A	19
OLQDR	0.1	H	L		28	0	0	8	12	0	0	0	0	A	20
OLQVL	0.1	H	L		37	0	0	13	18	0	0	0	0	A	21
OLQVR	0.11	H	L		39	0	0	15	19	0	0	0	0	A	22
PDA	0.81	T	L	MAD	0	0	12	0	0	9	2	0	0	H	188
PDB	0.8	T	L	MAD	0	0	11	0	0	6	1	0	0	H	189
PDEL	0.64	M	L		0	34	26	0	0	12	11	25	7	F	177
PDER	0.64	M	L		0	43	32	0	0	20	8	33	8	F	178
PHAL	0.81	T	L		0	40	0	0	0	0	0	30	8	K	203
PHAR	0.82	T	L		0	30	1	0	0	1	0	20	5	K	204
PHBL	0.82	T	L		0	42	0	0	0	0	0	31	8	K	205
PHBR	0.82	T	L		0	44	1	0	0	1	0	29	11	K	206
PHCL	0.83	T	L		0	17	8	0	0	7	0	12	2	K	207
PHCR	0.83	T	L		0	22	3	0	0	2	0	20	0	K	208
PLML	0.83	T	L		0	4	0	0	0	0	0	1	0	K	209
PLMR	0.83	T	L		0	4	26	0	0	24	2	0	0	K	210
PLNL	0.83	T	S		13	0	0	12	1	0	0	0	0	K	211
PLNR	0.82	T	S		10	0	0	10	0	0	0	0	0	K	212
PQR	0.82	T	L		0	44	0	0	0	0	0	35	5	K	213
