#Neuron	Soma Position	Soma Region	 Span 	 Ambiguity 	TotHead	TotTail	TotMid	S_Head	R_Head	S_Mid	R_Mid	S_Tail	R_Tail	 AY Ganglion Designation	 AYNbr	Functions	Neurotransmitters
ADAL	0.21	H	S		47	0	0	33	8	0	0	0	0	E	141	I	GLU
ADAR	0.21	H	S		40	0	0	24	10	0	0	0	0	E	142	I	GLU
ADEL	0.21	H	S		57	0	0	45	10	0	0	0	0	E	143	S	DA
ADER	0.21	H	S		51	0	0	38	12	0	0	0	0	E	144	S	DA
ADFL	0.13	H	L		52	0	0	39	12	0	0	0	0	C	45	S	5-HT
ADFR	0.14	H	L		61	0	0	43	16	0	0	0	0	C	46	S	5-HT
ADLL	0.13	H	L		50	0	0	43	3	0	0	0	0	C	47	S	
ADLR	0.14	H	L		51	0	0	46	4	0	0	0	0	C	48	S	
AFDL	0.13	H	L		21	0	0	8	11	0	0	0	0	C	49	S	
AFDR	0.14	H	L		32	0	0	14	16	0	0	0	0	C	50	S	
AIAL	0.15	H	S		88	0	0	26	58	0	0	0	0	D	109	I	ACh
AIAR	0.16	H	S		99	0	0	28	66	0	0	0	0	D	110	I	ACh
AIBL	0.14	H	S		116	0	3	39	70	0	2	0	0	C	51	I	
AIBR	0.15	H	S		120	0	6	35	76	0	4	0	0	C	52	I	
AIML	0.19	H	S		32	0	0	27	4	0	0	0	0	D	111	I	
AIMR	0.19	H	S		27	0	0	25	2	0	0	0	0	D	112	I	
AINL	0.16	H	S		21	0	0	16	0	0	0	0	0	C	53	I	
AINR	0.16	H	S		25	0	0	19	2	0	0	0	0	C	54	I	
AIYL	0.19	H	S		75	0	0	30	43	0	0	0	0	D	113	I	ACh
AIYR	0.18	H	S		68	0	0	19	47	0	0	0	0	D	114	I	ACh
AIZL	0.17	H	S		117	0	1	51	62	1	0	0	0	C	55	I	
AIZR	0.17	H	S		84	0	0	38	41	0	0	0	0	C	56	I	
ALA	0.12	H	S		11	0	0	7	3	0	0	0	0	B	39	I	
ALML	0.46	M	L		29	0	0	22	5	0	0	0	0	F	170	S	GLU
ALMR	0.46	M	L		14	0	0	12	1	0	0	0	0	F	171	S	GLU
ALNL	0.82	T	S		10	0	0	6	3	0	0	0	0	K	199	S	ACh
ALNR	0.82	T	S		10	0	0	8	2	0	0	0	0	K	200	S	ACh
AQR	0.21	H	S		58	0	3	28	10	0	0	0	0	E	145	S	
AS01	0.25	M	S		0	0	36	0	0	20	9	0	0	E	146	M	ACh
AS02	0.29	M	S		0	0	34	0	0	23	8	0	0	G	224	M	ACh
AS03	0.35	M	S		0	0	42	0	0	30	6	0	0	G	225	M	ACh
AS04	0.4	M	S		0	0	29	0	0	21	7	0	0	G	226	M	ACh
AS05	0.47	M	S		0	0	34	0	0	20	11	0	0	G	227	M	ACh
AS06	0.51	M	S		0	0	35	0	0	23	6	0	0	G	228	M	ACh
AS07	0.57	M	S	RDM	0	0	27	0	0	0	12	0	0	G	229	M	ACh
AS08	0.62	M	S	RDM	0	0	18	0	0	0	11	0	0	G	230	M	ACh
AS09	0.68	M	S	RDM	0	0	28	0	0	2	14	0	0	G	231	M	ACh
AS10	0.73	M	S	RDM	0	0	9	0	0	0	7	0	0	G	223	M	ACh
AS11	0.79	M	S	RDI	0	0	23	0	0	6	15	0	0	H	184	M	ACh
ASEL	0.15	H	L		54	0	0	40	14	0	0	0	0	C	57	S	
ASER	0.15	H	L		58	0	0	42	16	0	0	0	0	C	58	S	
ASGL	0.14	H	L		20	0	0	14	4	0	0	0	0	C	59	S	
ASGR	0.14	H	L		23	0	0	13	8	0	0	0	0	C	60	S	
ASHL	0.14	H	L		51	0	0	37	8	0	0	0	0	C	61	S	GLU
ASHR	0.14	H	L		60	0	0	40	13	0	0	0	0	C	62	S	GLU
ASIL	0.14	H	L		15	0	0	12	0	0	0	0	0	C	63	S	
ASIR	0.15	H	L		14	0	0	11	0	0	0	0	0	C	64	S	
ASJL	0.16	H	L		23	0	0	20	2	0	0	0	0	C	65	S	
ASJR	0.16	H	L		22	0	0	18	3	0	0	0	0	C	66	S	
ASKL	0.13	H	L		41	0	0	15	19	0	0	0	0	C	67	S	GLU
ASKR	0.13	H	L		33	0	0	15	11	0	0	0	0	C	68	S	GLU
AUAL	0.15	H	S		38	0	0	21	14	0	0	0	0	C	69	S	GLU
AUAR	0.16	H	S		42	0	0	26	13	0	0	0	0	C	70	S	GLU
AVAL	0.13	H	L		112	88	293	0	104	115	85	28	48	C	71	I	
AVAR	0.13	H	L		94	98	286	2	85	116	106	35	49	C	72	I	
AVBL	0.15	H	L		103	7	75	0	94	29	17	5	0	C	73	I	
AVBR	0.15	H	L		127	8	68	0	119	22	12	4	1	C	74	I	
AVDL	0.16	H	L		36	30	66	0	32	45	19	11	19	C	75	I	
AVDR	0.16	H	L		33	0	108	0	29	62	44	0	0	C	76	I	
AVEL	0.13	H	L		102	0	69	0	94	58	11	0	0	C	77	I	
AVER	0.14	H	L		105	0	62	0	96	54	8	0	0	C	78	I	
AVFL	0.2	H	L		30	7	47	14	16	13	5	3	4	E	147	I	
AVFR	0.2	H	L		18	1	49	10	8	11	11	1	0	E	148	I	
AVG	0.22	H	L		0	13	24	0	0	20	2	3	10	E	149	S	
AVHL	0.15	H	L		28	4	19	19	9	8	6	1	2	C	79	I	
AVHR	0.15	H	L		25	6	15	21	4	7	3	0	6	C	80	I	
AVJL	0.15	H	L		47	5	20	12	32	8	4	0	3	C	81	I	
AVJR	0.15	H	L		41	4	17	12	28	9	4	1	3	C	82	I	
AVKL	0.2	H	L		44	14	39	12	19	6	26	0	14	D	115	I	
AVKR	0.19	H	L		42	0	13	14	17	1	7	0	0	D	116	I	
AVL	0.16	H	L		7	18	48	1	6	27	11	7	10	D	117	IM	GABA
AVM	0.44	M	S		41	0	5	37	1	3	1	0	0	F	172	S	GLU
AWAL	0.14	H	L		28	0	0	23	3	0	0	0	0	C	83	S	
AWAR	0.14	H	L		38	0	0	29	6	0	0	0	0	C	84	S	
AWBL	0.14	H	L		33	0	0	24	6	0	0	0	0	C	85	S	
AWBR	0.14	H	L		27	0	0	17	6	0	0	0	0	C	86	S	
AWCL	0.14	H	L		40	0	0	25	15	0	0	0	0	C	87	S	
AWCR	0.14	H	L		41	0	0	26	15	0	0	0	0	C	88	S	
BAGL	0.1	H	S		37	0	0	27	7	0	0	0	0	A	1	S	
BAGR	0.11	H	S		35	0	0	21	11	0	0	0	0	A	2	S	
BDUL	0.31	M	S		26	0	0	12	14	0	0	0	0	F	173	I	
BDUR	0.31	M	S		38	0	0	21	17	0	0	0	0	F	174	I	
CEPDL	0.12	H	L		62	0	0	50	10	0	0	0	0	B	40	S	DA
CEPDR	0.13	H	L		61	0	0	50	8	0	0	0	0	B	41	S	DA
CEPVL	0.11	H	L		49	0	0	37	10	0	0	0	0	A	3	S	DA
CEPVR	0.12	H	L		49	0	0	35	12	0	0	0	0	A	4	S	DA
DA01	0.25	M	S		0	0	72	0	0	38	20	0	0	E	150	M	ACh
DA02	0.3	M	S		0	0	57	0	0	34	14	0	0	G	232	M	ACh
DA03	0.37	M	S		0	0	96	0	0	66	27	0	0	G	233	M	ACh
DA04	0.45	M	S		0	0	84	0	0	56	20	0	0	G	234	M	ACh
DA05	0.54	M	S		0	0	61	0	0	35	15	0	0	G	235	M	ACh
DA06	0.65	M	S		0	0	55	0	0	16	27	0	0	G	236	M	ACh
DA07	0.73	M	S	RDM	0	0	7	0	0	0	5	0	0	G	237	M	ACh
DA08	0.8	M	S	RDM	0	0	26	0	0	0	24	0	0	H	185	M	ACh
DA09	0.8	M	S	RDI	0	0	30	0	0	3	23	0	0	H	186	M	ACh
DB01	0.24	M	S		0	0	65	0	0	53	1	0	0	E	151	M	ACh
DB02	0.21	M	S		0	0	85	0	0	69	6	0	0	E	152	M	ACh
DB03	0.3	M	S		0	0	107	0	0	83	14	0	0	G	238	M	ACh
DB04	0.39	M	S		0	0	39	0	0	22	11	0	0	G	239	M	ACh
DB05	0.51	M	S	RDM	0	0	11	0	0	0	7	0	0	G	240	M	ACh
DB06	0.62	M	S	RDM	0	0	18	0	0	0	12	0	0	G	241	M	ACh
DB07	0.72	M	S	RDI	0	0	15	0	0	2	10	0	0	G	242	M	ACh
DD01	0.24	M	S		0	0	148	0	0	37	103	0	0	E	153	M	GABA
DD02	0.34	M	S		0	0	145	0	0	31	109	0	0	G	243	M	GABA
DD03	0.45	M	S		0	0	155	0	0	32	120	0	0	G	244	M	GABA
DD04	0.58	M	S	RDM	0	0	84	0	0	0	81	0	0	G	245	M	GABA
DD05	0.69	M	S	RDM	0	0	59	0	0	3	55	0	0	G	246	M	GABA
DD06	0.8	M	S	RDM	0	0	36	0	0	1	35	0	0	H	187	M	GABA
DVA	0.81	T	L		65	60	59	51	12	17	39	5	54	J	196	I	
DVB	0.81	T	L		0	18	16	0	0	7	0	17	0	J	197	M	GABA
DVC	0.81	T	L	MB	45	5	41	38	3	1	9	0	3	J	198	I	
FLPL	0.2	H	L		44	0	38	34	7	35	1	0	0	E	154	S	GLU
FLPR	0.2	H	L		43	0	14	39	2	11	1	0	0	E	155	S	GLU
HSNL	0.55	M	L		42	8	6	31	10	5	1	7	1	F	175	M	5-HT
HSNR	0.55	M	L		37	0	27	20	15	20	7	0	0	F	176	M	5-HT
IL1DL	0.08	H	L		34	0	0	15	15	0	0	0	0	A	5	MS	GLU
IL1DR	0.09	H	L		38	0	0	17	17	0	0	0	0	A	6	MS	GLU
IL1L	0.08	H	L		38	0	0	32	4	0	0	0	0	A	7	MS	GLU
IL1R	0.09	H	L		47	0	0	37	8	0	0	0	0	A	8	MS	GLU
IL1VL	0.08	H	L		38	0	0	20	15	0	0	0	0	A	9	MS	GLU
IL1VR	0.11	H	L		44	0	0	29	12	0	0	0	0	A	10	MS	GLU
IL2DL	0.07	H	L		31	0	0	31	0	0	0	0	0	A	11	S	
IL2DR	0.08	H	L		29	0	0	29	0	0	0	0	0	A	12	S	
IL2L	0.08	H	L		41	0	0	35	5	0	0	0	0	A	13	S	
IL2R	0.09	H	L		32	0	0	26	3	0	0	0	0	A	14	S	
IL2VL	0.08	H	L		35	0	0	34	1	0	0	0	0	A	15	S	
IL2VR	0.09	H	L		44	0	0	41	3	0	0	0	0	A	16	S	
LUAL	0.82	T	L		0	30	2	0	0	0	2	21	6	K	201	I	GLU
LUAR	0.82	T	L		0	29	0	0	0	0	0	21	6	K	202	I	GLU
OLLL	0.08	H	L		75	0	0	62	9	0	0	0	0	A	17	S	GLU
OLLR	0.09	H	L		92	0	1	64	24	0	1	0	0	A	18	S	GLU
OLQDL	0.09	H	L		33	0	0	8	19	0	0	0	0	A	19	S	GLU
OLQDR	0.1	H	L		28	0	0	8	12	0	0	0	0	A	20	S	GLU
OLQVL	0.1	H	L		37	0	0	13	18	0	0	0	0	A	21	S	GLU
OLQVR	0.11	H	L		39	0	0	15	19	0	0	0	0	A	22	S	GLU
PDA	0.81	T	L	MAD	0	0	12	0	0	9	2	0	0	H	188	M	
PDB	0.8	T	L	MAD	0	0	11	0	0	6	1	0	0	H	189	M	
PDEL	0.64	M	L		0	34	26	0	0	12	11	25	7	F	177	S	DA
PDER	0.64	M	L		0	43	32	0	0	20	8	33	8	F	178	S	DA
PHAL	0.81	T	L		0	40	0	0	0	0	0	30	8	K	203	S	
PHAR	0.82	T	L		0	30	1	0	0	1	0	20	5	K	204	S	
PHBL	0.82	T	L		0	42	0	0	0	0	0	31	8	K	205	S	ACh
PHBR	0.82	T	L		0	44	1	0	0	1	0	29	11	K	206	S	ACh
PHCL	0.83	T	L		0	17	8	0	0	7	0	12	2	K	207	S	
PHCR	0.83	T	L		0	22	3	0	0	2	0	20	0	K	208	S	
PLML	0.83	T	L		0	4	0	0	0	0	0	1	0	K	209	S	GLU
PLMR	0.83	T	L		0	4	26	0	0	24	2	0	0	K	210	S	GLU
PLNL	0.83	T	S		13	0	0	12	1	0	0	0	0	K	211	S	ACh
PLNR	0.82	T	S		10	0	0	10	0	0	0	0	0	K	212	S	ACh
